,age,medu,fedu,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,g3,school_MS,sex_M,address_U,famsize_LE3,pstatus_T,mjob_health,mjob_other,mjob_services,mjob_teacher,fjob_health,fjob_other,fjob_services,fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes
0,18,4,4,2,2,0,4,3,4,1,1,3,4,0,11,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
1,17,1,1,1,2,0,5,3,3,1,1,3,2,9,11,11,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
2,15,1,1,1,2,0,4,3,2,2,3,3,6,12,13,12,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0
3,15,4,2,1,3,0,3,2,2,1,1,5,0,14,14,14,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1
4,16,3,3,1,2,0,4,3,2,1,2,5,0,11,13,13,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
5,16,4,3,1,2,0,5,4,2,1,2,5,6,12,12,13,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0
6,16,2,2,1,2,0,4,4,4,1,1,3,0,13,12,13,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
7,17,4,4,2,2,0,4,1,4,1,1,1,2,10,13,13,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0
8,15,3,2,1,2,0,4,2,2,1,1,1,0,15,16,17,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
9,15,3,4,1,2,0,5,5,1,1,1,5,0,12,12,13,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0
10,15,4,4,1,2,0,3,3,3,1,2,2,2,14,14,14,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0
11,15,2,1,3,3,0,5,2,2,1,1,4,0,10,12,13,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0
12,15,4,4,1,1,0,4,3,3,1,3,5,0,12,13,12,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0
13,15,4,3,2,2,0,5,4,3,1,2,3,0,12,12,13,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
14,15,2,2,1,3,0,4,5,2,1,1,3,0,14,14,15,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1
15,16,4,4,1,1,0,4,4,4,1,2,2,6,17,17,17,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
16,16,4,4,1,3,0,3,2,3,1,2,2,10,13,13,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0
17,16,3,3,3,2,0,5,3,2,1,1,4,2,13,14,14,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0
18,17,3,2,1,1,3,5,5,5,2,4,5,2,8,8,7,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0
19,16,4,3,1,1,0,3,1,3,1,3,5,6,12,12,12,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
20,15,4,3,1,2,0,4,4,1,1,1,1,0,12,13,14,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
21,15,4,4,1,1,0,5,4,2,1,1,5,0,11,12,12,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
22,16,4,2,1,2,0,4,5,1,1,3,5,0,12,13,14,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
23,16,2,2,2,2,0,5,4,4,2,4,5,2,10,10,10,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0
24,15,2,4,1,3,0,4,3,2,1,1,5,2,10,11,10,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0
25,16,2,2,1,1,0,1,2,2,1,3,5,6,10,11,12,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0
26,15,2,2,1,1,0,4,2,2,1,2,5,8,11,12,12,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
27,15,4,2,1,1,0,2,2,4,2,4,1,0,11,11,11,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0
28,16,3,4,1,2,0,5,3,3,1,1,5,2,12,12,13,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0
29,16,4,4,1,2,0,4,4,5,5,5,5,4,12,11,12,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1
30,15,4,4,1,2,0,5,4,2,3,4,5,0,10,11,11,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0
31,15,4,4,2,2,0,4,3,1,1,1,5,2,15,15,15,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0
32,15,4,3,1,2,0,4,5,2,1,1,5,0,13,14,15,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
